status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_and_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_or_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,target
14,18,30,A49,4165,61,73,2,A93,A101,2,A123,36.0,A142,A152,2,173,2,A191,1
11,36,32,A41,8335,65,75,3,A93,A101,4,A124,47.0,A143,A153,1,173,1,A191,1
12,48,33,A49,6681,65,73,4,A93,A101,4,A124,38.0,A143,A153,1,173,2,A192,0
14,24,33,A49,2375,63,73,4,A93,A101,2,A123,44.0,A143,A152,2,173,2,A192,0
11,18,32,A40,1216,61,72,4,A92,A101,3,A123,23.0,A143,A151,1,173,1,A192,1
11,45,30,A49,11816,61,75,2,A93,A101,4,A123,29.0,A143,A151,2,173,1,A191,1
12,24,32,A43,5084,65,75,2,A92,A101,4,A123,42.0,A143,A152,1,173,1,A192,0
13,15,32,A43,2327,61,72,2,A92,A101,3,A121,25.0,A143,A152,1,172,1,A191,1
11,12,30,A40,1082,61,73,4,A93,A101,4,A123,48.0,A141,A152,2,173,1,A191,1
14,12,32,A43,886,65,73,4,A92,A101,2,A123,22.0,A143,A152,1,173,1,A191,0
14,4,32,A42,601,61,72,1,A92,A101,3,A121,23.0,A143,A151,1,172,2,A191,0
11,24,34,A41,2957,61,75,4,A93,A101,4,A122,63.0,A143,A152,2,173,1,A192,0
14,24,34,A43,2611,61,75,4,A94,A102,3,A121,46.0,A143,A152,2,173,1,A191,0
11,36,32,A42,5179,61,74,4,A93,A101,2,A122,29.0,A143,A152,1,173,1,A191,1
14,21,33,A41,2993,61,73,3,A93,A101,2,A121,28.0,A142,A152,2,172,1,A191,0
14,18,32,A45,1943,61,72,4,A92,A101,4,A121,23.0,A143,A152,1,173,1,A191,1
14,24,31,A49,1559,61,74,4,A93,A101,4,A123,50.0,A141,A152,1,173,1,A192,0
14,18,32,A42,3422,61,75,4,A93,A101,4,A122,47.0,A141,A152,3,173,2,A192,0
12,21,32,A42,3976,65,74,2,A93,A101,3,A123,35.0,A143,A152,1,173,1,A192,0
14,18,32,A40,6761,65,73,2,A93,A101,4,A123,63.0,A143,A151,2,173,1,A191,1
14,24,32,A40,1249,61,72,4,A94,A101,2,A121,28.0,A143,A152,1,173,1,A191,0
11,9,32,A43,1364,61,74,3,A93,A101,4,A121,59.0,A143,A152,1,173,1,A191,0
11,12,32,A43,709,61,75,4,A93,A101,4,A121,57.0,A142,A152,1,172,1,A191,1
11,20,34,A40,2235,61,73,4,A94,A103,2,A122,33.0,A141,A151,2,173,1,A191,1
14,24,34,A41,4042,65,74,3,A93,A101,4,A122,43.0,A143,A152,2,173,1,A192,0
14,15,34,A43,1471,61,73,4,A93,A101,4,A124,35.0,A143,A153,2,173,1,A192,0
11,18,31,A40,1442,61,74,4,A93,A101,4,A124,32.0,A143,A153,2,172,2,A191,1
14,36,33,A40,10875,61,75,2,A93,A101,2,A123,45.0,A143,A152,2,173,2,A192,0
14,24,32,A40,1474,62,72,4,A94,A101,3,A121,33.0,A143,A152,1,173,1,A192,0
14,10,32,A48,894,65,74,4,A92,A101,3,A122,40.0,A143,A152,1,173,1,A192,0
14,15,34,A42,3343,61,73,4,A93,A101,2,A124,28.0,A143,A153,1,173,1,A192,0
11,15,32,A40,3959,61,73,3,A92,A101,2,A122,29.0,A143,A152,1,173,1,A192,1
14,9,32,A40,3577,62,73,1,A93,A103,2,A121,26.0,A143,A151,1,173,2,A191,0
14,24,34,A41,5804,64,73,4,A93,A101,2,A121,27.0,A143,A152,2,173,1,A191,0
14,18,33,A49,2169,61,73,4,A94,A101,2,A123,28.0,A143,A152,1,173,1,A192,1
11,24,32,A43,2439,61,72,4,A92,A101,4,A121,35.0,A143,A152,1,173,1,A192,1
14,27,34,A42,4526,64,72,4,A93,A101,2,A121,32.0,A142,A152,2,172,2,A192,0
14,10,32,A42,2210,61,73,2,A93,A101,2,A121,25.0,A141,A151,1,172,1,A191,1
14,15,32,A42,2221,63,73,2,A92,A101,4,A123,22.0,A143,A151,1,173,1,A191,0
11,18,32,A43,2389,61,72,4,A92,A101,1,A123,27.0,A142,A152,1,173,1,A191,0
14,12,34,A42,3331,61,75,2,A93,A101,4,A122,42.0,A142,A152,1,173,1,A191,0
14,36,32,A49,7409,65,75,3,A93,A101,2,A122,37.0,A143,A152,2,173,1,A191,0
11,12,32,A42,652,61,75,4,A92,A101,4,A122,24.0,A143,A151,1,173,1,A191,0
14,36,33,A42,7678,63,74,2,A92,A101,4,A123,40.0,A143,A152,2,173,1,A192,0
13,6,34,A40,1343,61,75,1,A93,A101,4,A121,46.0,A143,A152,2,173,2,A191,0
11,24,34,A49,1382,62,74,4,A93,A101,1,A121,26.0,A143,A152,2,173,1,A192,0
14,15,32,A44,874,65,72,4,A92,A101,1,A121,24.0,A143,A152,1,173,1,A191,0
11,12,32,A42,3590,61,73,2,A93,A102,2,A122,29.0,A143,A152,1,172,2,A191,0
12,11,34,A40,1322,64,73,4,A92,A101,4,A123,40.0,A143,A152,2,173,1,A191,0
11,18,31,A43,1940,61,72,3,A93,A102,4,A124,36.0,A141,A153,1,174,1,A192,0
14,36,32,A43,3595,61,75,4,A93,A101,2,A123,28.0,A143,A152,1,173,1,A191,0
11,9,32,A40,1422,61,72,3,A93,A101,2,A124,27.0,A143,A153,1,174,1,A192,1
14,30,34,A43,6742,65,74,2,A93,A101,3,A122,36.0,A143,A152,2,173,1,A191,0
14,24,32,A41,7814,61,74,3,A93,A101,3,A123,38.0,A143,A152,1,174,1,A192,0
14,24,32,A41,9277,65,73,2,A91,A101,4,A124,48.0,A143,A153,1,173,1,A192,0
12,30,34,A40,2181,65,75,4,A93,A101,4,A121,36.0,A143,A152,2,173,1,A191,0
14,18,34,A43,1098,61,71,4,A92,A101,4,A123,63.0,A143,A152,2,171,1,A191,0
12,24,32,A42,4057,61,74,3,A91,A101,3,A123,43.0,A143,A152,1,173,1,A192,1
11,12,32,A46,795,61,72,4,A92,A101,4,A122,53.0,A143,A152,1,173,1,A191,1
12,24,34,A49,2825,65,74,4,A93,A101,3,A124,34.0,A143,A152,2,173,2,A192,0
12,48,32,A49,15672,61,73,2,A93,A101,2,A123,23.0,A143,A152,1,173,1,A192,1
14,36,34,A40,6614,61,75,4,A93,A101,4,A123,34.0,A143,A152,2,174,1,A192,0
14,28,31,A41,7824,65,72,3,A93,A103,4,A121,40.0,A141,A151,2,173,2,A192,0
11,27,34,A49,2442,61,75,4,A93,A101,4,A123,43.0,A142,A152,4,174,2,A192,0
14,15,34,A43,1829,61,75,4,A93,A101,4,A123,46.0,A143,A152,2,173,1,A192,0
11,12,34,A40,2171,61,73,4,A93,A101,4,A122,38.0,A141,A152,2,172,1,A191,0
12,36,34,A41,5800,61,73,3,A93,A101,4,A123,34.0,A143,A152,2,173,1,A192,0
14,18,34,A43,1169,65,73,4,A93,A101,3,A122,29.0,A143,A152,2,173,1,A192,0
14,36,33,A41,8947,65,74,3,A93,A101,2,A123,31.0,A142,A152,1,174,2,A192,0
11,21,32,A43,2606,61,72,4,A92,A101,4,A122,28.0,A143,A151,1,174,1,A192,0
14,12,34,A42,1592,64,74,3,A92,A101,2,A122,35.0,A143,A152,1,173,1,A191,0
14,15,32,A42,2186,65,74,1,A92,A101,4,A121,33.0,A141,A151,1,172,1,A191,0
11,18,32,A42,4153,61,73,2,A93,A102,3,A123,42.0,A143,A152,1,173,1,A191,1
11,16,34,A40,2625,61,75,2,A93,A103,4,A122,43.0,A141,A151,1,173,1,A192,1
14,20,34,A40,3485,65,72,2,A91,A101,4,A121,44.0,A143,A152,2,173,1,A192,0
14,36,34,A41,10477,65,75,2,A93,A101,4,A124,42.0,A143,A153,2,173,1,A191,0
14,15,32,A43,1386,65,73,4,A94,A101,2,A121,40.0,A143,A151,1,173,1,A192,0
14,24,32,A43,1278,61,75,4,A93,A101,1,A121,36.0,A143,A152,1,174,1,A192,0
11,12,32,A43,1107,61,73,2,A93,A101,2,A121,22.0,A143,A151,1,174,2,A192,0
11,21,32,A40,3763,65,74,2,A93,A102,2,A121,24.0,A143,A152,1,172,1,A191,0
12,36,32,A46,3711,65,73,2,A94,A101,2,A123,27.0,A143,A152,1,173,1,A191,0
14,15,33,A41,3594,61,72,1,A92,A101,2,A122,46.0,A143,A152,2,172,1,A191,0
12,9,32,A40,3195,65,73,1,A92,A101,2,A121,33.0,A143,A152,1,172,1,A191,0
14,36,33,A43,4454,61,73,4,A92,A101,4,A121,34.0,A143,A152,2,173,1,A191,0
12,24,34,A42,4736,61,72,2,A92,A101,4,A123,25.0,A141,A152,1,172,1,A191,1
12,30,32,A43,2991,65,75,2,A92,A101,4,A123,25.0,A143,A152,1,173,1,A191,0
14,11,32,A49,2142,64,75,1,A91,A101,2,A121,28.0,A143,A152,1,173,1,A192,0
11,24,31,A49,3161,61,73,4,A93,A101,2,A122,31.0,A143,A151,1,173,1,A192,1
12,48,30,A410,18424,61,73,1,A92,A101,2,A122,32.0,A141,A152,1,174,1,A192,1
14,10,32,A41,2848,62,73,1,A93,A102,2,A121,32.0,A143,A152,1,173,2,A191,0
11,6,32,A40,14896,61,75,1,A93,A101,4,A124,63.0,A141,A152,1,174,1,A192,1
11,24,32,A42,2359,62,71,1,A91,A101,1,A122,33.0,A143,A152,1,173,1,A191,1
11,24,32,A42,3345,61,75,4,A93,A101,2,A122,39.0,A143,A151,1,174,1,A192,1
14,18,34,A42,1817,61,73,4,A92,A101,2,A124,28.0,A143,A152,2,173,1,A191,0
14,48,33,A43,12749,63,74,4,A93,A101,1,A123,37.0,A143,A152,1,174,1,A192,0
11,9,32,A43,1366,61,72,3,A92,A101,4,A122,22.0,A143,A151,1,173,1,A191,1
12,12,32,A40,2002,61,74,3,A93,A101,4,A122,30.0,A143,A151,1,173,2,A192,0
11,24,31,A42,6872,61,72,2,A91,A101,1,A122,55.0,A141,A152,1,173,1,A192,1
11,12,31,A40,697,61,72,4,A93,A101,2,A123,46.0,A141,A152,2,173,1,A192,1
11,18,34,A42,1049,61,72,4,A92,A101,4,A122,22.0,A143,A151,1,173,1,A191,0
11,48,32,A41,10297,61,74,4,A93,A101,4,A124,39.0,A142,A153,3,173,2,A192,1
14,30,32,A43,1867,65,75,4,A93,A101,4,A123,58.0,A143,A152,1,173,1,A192,0
11,12,33,A40,1344,61,73,4,A93,A101,2,A121,43.0,A143,A152,2,172,2,A191,0
11,24,32,A42,1747,61,72,4,A93,A102,1,A122,24.0,A143,A152,1,172,1,A191,0
12,9,32,A43,1670,61,72,4,A92,A101,2,A123,22.0,A143,A152,1,173,1,A192,1
14,9,34,A40,1224,61,73,3,A93,A101,1,A121,30.0,A143,A152,2,173,1,A191,0
14,12,34,A43,522,63,75,4,A93,A101,4,A122,42.0,A143,A152,2,173,2,A192,0
11,12,32,A43,1498,61,73,4,A92,A101,1,A123,23.0,A141,A152,1,173,1,A191,0
12,30,33,A43,1919,62,72,4,A93,A101,3,A124,30.0,A142,A152,2,174,1,A191,1
13,9,32,A43,745,61,73,3,A92,A101,2,A121,28.0,A143,A152,1,172,1,A191,1
12,6,32,A43,2063,61,72,4,A94,A101,3,A123,30.0,A143,A151,1,174,1,A192,0
12,60,32,A46,6288,61,73,4,A93,A101,4,A124,42.0,A143,A153,1,173,1,A191,1
14,24,34,A41,6842,65,73,2,A93,A101,4,A122,46.0,A143,A152,2,174,2,A192,0
14,12,32,A40,3527,65,72,2,A93,A101,3,A122,45.0,A143,A152,1,174,2,A192,0
14,10,32,A40,1546,61,73,3,A93,A101,2,A121,31.0,A143,A152,1,172,2,A191,0
14,24,32,A42,929,65,74,4,A93,A101,2,A123,31.0,A142,A152,1,173,1,A192,0
14,4,34,A40,1455,61,74,2,A93,A101,1,A121,42.0,A143,A152,3,172,2,A191,0
11,15,32,A42,1845,61,72,4,A92,A103,1,A122,46.0,A143,A151,1,173,1,A191,0
12,48,30,A40,8358,63,72,1,A92,A101,1,A123,30.0,A143,A152,2,173,1,A191,0
11,24,31,A42,3349,63,72,4,A93,A101,4,A124,30.0,A143,A153,1,173,2,A192,1
14,12,32,A40,2859,65,71,4,A93,A101,4,A124,38.0,A143,A152,1,174,1,A192,0
14,18,32,A42,1533,61,72,4,A94,A102,1,A122,43.0,A143,A152,1,172,2,A191,1
14,24,32,A43,3621,62,75,2,A93,A101,4,A123,31.0,A143,A152,2,173,1,A191,1
12,18,34,A49,3590,61,71,3,A94,A101,3,A123,40.0,A143,A152,3,171,2,A192,0
11,36,33,A49,2145,61,74,2,A93,A101,1,A123,24.0,A143,A152,2,173,1,A192,1
12,24,32,A41,4113,63,72,3,A92,A101,4,A123,28.0,A143,A151,1,173,1,A191,1
14,36,32,A42,10974,61,71,4,A92,A101,2,A123,26.0,A143,A152,2,174,1,A192,1
11,12,32,A40,1893,61,73,4,A92,A103,4,A122,29.0,A143,A152,1,173,1,A192,0
11,24,34,A43,1231,64,75,4,A92,A101,4,A122,57.0,A143,A151,2,174,1,A192,0
13,30,34,A43,3656,65,75,4,A93,A101,4,A122,49.0,A142,A152,2,172,1,A191,0
12,9,34,A43,1154,61,75,2,A93,A101,4,A121,37.0,A143,A152,3,172,1,A191,0
11,28,32,A40,4006,61,73,3,A93,A101,2,A123,45.0,A143,A152,1,172,1,A191,1
12,24,32,A42,3069,62,75,4,A93,A101,4,A124,30.0,A143,A153,1,173,1,A191,0
14,6,34,A43,1740,61,75,2,A94,A101,2,A121,30.0,A143,A151,2,173,1,A191,0
12,21,33,A40,2353,61,73,1,A91,A101,4,A122,47.0,A143,A152,2,173,1,A191,0
14,15,32,A40,3556,65,73,3,A93,A101,2,A124,29.0,A143,A152,1,173,1,A191,0
14,24,32,A43,2397,63,75,3,A93,A101,2,A123,35.0,A141,A152,2,173,1,A192,1
12,6,32,A45,454,61,72,3,A94,A101,1,A122,22.0,A143,A152,1,172,1,A191,0
12,30,32,A43,1715,65,73,4,A92,A101,1,A123,26.0,A143,A152,1,173,1,A191,0
12,27,34,A43,2520,63,73,4,A93,A101,2,A122,23.0,A143,A152,2,172,1,A191,1
14,15,32,A43,3568,61,75,4,A92,A101,2,A123,54.0,A141,A151,1,174,1,A192,0
14,42,32,A43,7166,65,74,2,A94,A101,4,A122,29.0,A143,A151,1,173,1,A192,0
11,11,34,A40,3939,61,73,1,A93,A101,2,A121,40.0,A143,A152,2,172,2,A191,0
12,15,32,A45,1514,62,73,4,A93,A103,2,A121,22.0,A143,A152,1,173,1,A191,0
14,24,32,A40,7393,61,73,1,A93,A101,4,A122,43.0,A143,A152,1,172,2,A191,0
11,24,31,A40,1193,61,71,1,A92,A102,4,A124,29.0,A143,A151,2,171,1,A191,1
11,60,32,A49,7297,61,75,4,A93,A102,4,A124,36.0,A143,A151,1,173,1,A191,1
14,30,34,A43,2831,61,73,4,A92,A101,2,A123,33.0,A143,A152,1,173,1,A192,0
13,24,32,A43,1258,63,73,3,A92,A101,3,A123,57.0,A143,A152,1,172,1,A191,0
12,6,32,A43,753,61,73,2,A92,A103,3,A121,63.0,A143,A152,1,173,1,A191,0
12,18,33,A49,2427,65,75,4,A93,A101,2,A122,42.0,A143,A152,2,173,1,A191,0
14,24,33,A40,2538,61,75,4,A93,A101,4,A123,47.0,A143,A152,2,172,2,A191,1
12,15,31,A40,1264,62,73,2,A94,A101,2,A122,25.0,A143,A151,1,173,1,A191,1
12,30,34,A42,8386,61,74,2,A93,A101,2,A122,49.0,A143,A152,1,173,1,A191,1
14,48,32,A49,4844,61,71,3,A93,A101,2,A123,33.0,A141,A151,1,174,1,A192,1
13,21,32,A40,2923,62,73,1,A92,A101,1,A123,28.0,A141,A152,1,174,1,A192,0
11,36,32,A41,8229,61,73,2,A93,A101,2,A122,26.0,A143,A152,1,173,2,A191,1
14,24,34,A42,2028,61,74,2,A93,A101,2,A122,30.0,A143,A152,2,172,1,A191,0
11,15,34,A42,1433,61,73,4,A92,A101,3,A122,25.0,A143,A151,2,173,1,A191,0
13,42,30,A49,6289,61,72,2,A91,A101,1,A122,33.0,A143,A152,2,173,1,A191,0
14,13,32,A43,1409,62,71,2,A92,A101,4,A121,63.0,A143,A152,1,173,1,A191,0
11,24,32,A41,6579,61,71,4,A93,A101,2,A124,29.0,A143,A153,1,174,1,A192,0
12,24,34,A43,1743,61,75,4,A93,A101,2,A122,48.0,A143,A152,2,172,1,A191,0
14,12,34,A46,3565,65,72,2,A93,A101,1,A122,37.0,A143,A152,2,172,2,A191,0
14,15,31,A43,1569,62,75,4,A93,A101,4,A123,34.0,A141,A152,1,172,2,A191,0
11,18,32,A43,1936,65,74,2,A94,A101,4,A123,23.0,A143,A151,2,172,1,A191,0
11,36,32,A42,3959,61,71,4,A93,A101,3,A122,30.0,A143,A152,1,174,1,A192,0
14,12,32,A40,2390,65,75,4,A93,A101,3,A123,50.0,A143,A152,1,173,1,A192,0
14,12,32,A42,1736,61,74,3,A92,A101,4,A121,31.0,A143,A152,1,172,1,A191,0
11,30,32,A41,3857,61,73,4,A91,A101,4,A122,40.0,A143,A152,1,174,1,A192,0
14,12,32,A43,804,61,75,4,A93,A101,4,A123,38.0,A143,A152,1,173,1,A191,0
11,45,32,A43,1845,61,73,4,A93,A101,4,A124,23.0,A143,A153,1,173,1,A192,1
12,45,34,A41,4576,62,71,3,A93,A101,4,A123,27.0,A143,A152,1,173,1,A191,0
